Activo,Modelo,Banco,Mejores_Params
Oro,ARIMA_LSTM,Precio_Puro,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 256, 'dropout': 0.3}}"
Oro,ARIMA_LSTM,Precio_Volumen,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 256, 'dropout': 0.3}}"
Oro,ARIMA_LSTM,Tecnicos,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 128, 'dropout': 0.1}}"
Oro,ARIMA_LSTM,Macros,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 128, 'dropout': 0.1}}"
Oro,ARIMA_LSTM,Globales,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 64, 'dropout': 0.3}}"
Oro,ARIMA_LSTM,Hibrido_Precio_Tec_Vol,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 256, 'dropout': 0.2}}"
SP500,ARIMA_LSTM,Precio_Puro,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 256, 'dropout': 0.3}}"
SP500,ARIMA_LSTM,Precio_Volumen,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 256, 'dropout': 0.3}}"
SP500,ARIMA_LSTM,Tecnicos,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 256, 'dropout': 0.2}}"
SP500,ARIMA_LSTM,Macros,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 128, 'dropout': 0.1}}"
SP500,ARIMA_LSTM,Globales,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 256, 'dropout': 0.2}}"
SP500,ARIMA_LSTM,Hibrido_Precio_Tec_Vol,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 256, 'dropout': 0.2}}"
EURUSD,ARIMA_LSTM,Precio_Puro,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 256, 'dropout': 0.2}}"
EURUSD,ARIMA_LSTM,Precio_Volumen,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 128, 'dropout': 0.1}}"
EURUSD,ARIMA_LSTM,Tecnicos,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 256, 'dropout': 0.3}}"
EURUSD,ARIMA_LSTM,Macros,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 256, 'dropout': 0.2}}"
EURUSD,ARIMA_LSTM,Globales,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 128, 'dropout': 0.1}}"
EURUSD,ARIMA_LSTM,Hibrido_Precio_Tec_Vol,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 128, 'dropout': 0.1}}"
ECH,ARIMA_LSTM,Precio_Puro,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 64, 'dropout': 0.1}}"
ECH,ARIMA_LSTM,Precio_Volumen,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 128, 'dropout': 0.1}}"
ECH,ARIMA_LSTM,Tecnicos,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 128, 'dropout': 0.3}}"
ECH,ARIMA_LSTM,Macros,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 64, 'dropout': 0.3}}"
ECH,ARIMA_LSTM,Globales,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 32, 'dropout': 0.3}}"
ECH,ARIMA_LSTM,Hibrido_Precio_Tec_Vol,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 256, 'dropout': 0.2}}"
Oro,LSTM_RF,Precio_Puro,"{'units': 32, 'dropout': 0.1}"
Oro,LSTM_RF,Precio_Volumen,"{'units': 64, 'dropout': 0.1}"
Oro,LSTM_RF,Tecnicos,"{'units': 32, 'dropout': 0.1}"
Oro,LSTM_RF,Macros,"{'units': 32, 'dropout': 0.1}"
Oro,LSTM_RF,Globales,"{'units': 32, 'dropout': 0.1}"
Oro,LSTM_RF,Hibrido_Precio_Tec_Vol,"{'units': 32, 'dropout': 0.2}"
SP500,RANDOM_FOREST,Precio_Puro,"{'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 30}"
SP500,RANDOM_FOREST,Precio_Volumen,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 20}"
SP500,RANDOM_FOREST,Tecnicos,"{'n_estimators': 100, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 10}"
SP500,RANDOM_FOREST,Globales,"{'n_estimators': 1000, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': None}"
SP500,RANDOM_FOREST,Hibrido_Precio_Tec_Vol,"{'n_estimators': 1000, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': None}"
SP500,XGBOOST,Precio_Puro,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.05}"
SP500,XGBOOST,Precio_Volumen,"{'subsample': 0.6, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1}"
SP500,XGBOOST,Tecnicos,"{'subsample': 0.6, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1}"
SP500,XGBOOST,Globales,"{'subsample': 0.6, 'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.1}"
SP500,XGBOOST,Hibrido_Precio_Tec_Vol,"{'subsample': 0.8, 'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.05}"
SP500,LSTM,Precio_Puro,"{'units': 32, 'dropout': 0.2}"
SP500,LSTM,Precio_Volumen,"{'units': 32, 'dropout': 0.2}"
SP500,LSTM,Tecnicos,"{'units': 32, 'dropout': 0.3}"
SP500,LSTM,Globales,"{'units': 32, 'dropout': 0.3}"
SP500,LSTM,Hibrido_Precio_Tec_Vol,"{'units': 64, 'dropout': 0.3}"
SP500,BILSTM,Precio_Puro,"{'units': 32, 'dropout': 0.3}"
SP500,BILSTM,Precio_Volumen,"{'units': 32, 'dropout': 0.1}"
SP500,BILSTM,Tecnicos,"{'units': 32, 'dropout': 0.3}"
SP500,BILSTM,Globales,"{'units': 128, 'dropout': 0.1}"
SP500,BILSTM,Hibrido_Precio_Tec_Vol,"{'units': 32, 'dropout': 0.1}"
SP500,LSTM_RF,Precio_Puro,"{'units': 64, 'dropout': 0.3}"
SP500,LSTM_RF,Precio_Volumen,"{'units': 64, 'dropout': 0.2}"
SP500,LSTM_RF,Tecnicos,"{'units': 64, 'dropout': 0.3}"
SP500,LSTM_RF,Globales,"{'units': 64, 'dropout': 0.2}"
SP500,LSTM_RF,Hibrido_Precio_Tec_Vol,"{'units': 32, 'dropout': 0.3}"
EURUSD,LSTM_RF,Precio_Puro,"{'units': 32, 'dropout': 0.1}"
EURUSD,LSTM_RF,Precio_Volumen,"{'units': 32, 'dropout': 0.1}"
EURUSD,LSTM_RF,Tecnicos,"{'units': 32, 'dropout': 0.3}"
EURUSD,LSTM_RF,Globales,"{'units': 32, 'dropout': 0.1}"
EURUSD,LSTM_RF,Hibrido_Precio_Tec_Vol,"{'units': 32, 'dropout': 0.2}"
ECH,RANDOM_FOREST,Precio_Puro,"{'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 30}"
ECH,RANDOM_FOREST,Precio_Volumen,"{'n_estimators': 1000, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': None}"
ECH,RANDOM_FOREST,Tecnicos,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 20}"
ECH,RANDOM_FOREST,Macros,"{'n_estimators': 500, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 10}"
ECH,RANDOM_FOREST,Globales,"{'n_estimators': 1000, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': None}"
ECH,RANDOM_FOREST,Hibrido_Precio_Tec_Vol,"{'n_estimators': 1000, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': None}"
ECH,XGBOOST,Precio_Puro,"{'subsample': 0.8, 'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.05}"
ECH,XGBOOST,Precio_Volumen,"{'subsample': 0.6, 'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.1}"
ECH,XGBOOST,Tecnicos,"{'subsample': 0.6, 'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.1}"
ECH,XGBOOST,Macros,"{'subsample': 0.6, 'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.1}"
ECH,XGBOOST,Globales,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 9, 'learning_rate': 0.01}"
ECH,XGBOOST,Hibrido_Precio_Tec_Vol,"{'subsample': 0.6, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1}"
ECH,LSTM,Precio_Puro,"{'units': 32, 'dropout': 0.1}"
ECH,LSTM,Precio_Volumen,"{'units': 32, 'dropout': 0.1}"
ECH,LSTM,Tecnicos,"{'units': 64, 'dropout': 0.1}"
ECH,LSTM,Macros,"{'units': 32, 'dropout': 0.3}"
ECH,LSTM,Globales,"{'units': 64, 'dropout': 0.4}"
ECH,LSTM,Hibrido_Precio_Tec_Vol,"{'units': 64, 'dropout': 0.3}"
ECH,BILSTM,Precio_Puro,"{'units': 32, 'dropout': 0.1}"
ECH,BILSTM,Precio_Volumen,"{'units': 64, 'dropout': 0.3}"
ECH,BILSTM,Tecnicos,"{'units': 32, 'dropout': 0.1}"
ECH,BILSTM,Macros,"{'units': 64, 'dropout': 0.1}"
ECH,BILSTM,Globales,"{'units': 256, 'dropout': 0.3}"
ECH,BILSTM,Hibrido_Precio_Tec_Vol,"{'units': 32, 'dropout': 0.1}"
ECH,LSTM_RF,Precio_Puro,"{'units': 32, 'dropout': 0.1}"
ECH,LSTM_RF,Precio_Volumen,"{'units': 32, 'dropout': 0.2}"
ECH,LSTM_RF,Tecnicos,"{'units': 64, 'dropout': 0.1}"
